nFrameNo,nDetectId,nObjectType,nRealXPos[mm],nDistance[mm],nWidth[mm],nHeight[mm],nXSpeed,nZSpeed,nXAcceleration,nZAcceleration,,,image_xs[pixel],image_ys[pixel],image_width[pixel],image_height[pixel]
63,29,0,-2309,21333,2092,2220,0,0,0,0,,,88,164,20,55
63,65,0,-10382,54936,657,492,0,0,0,0,,,34,76,6,5
63,77,0,-4174,13320,1617,2246,0,0,0,0,,,78,278,12,15
64,93,0,-7405,29411,668,1319,0,0,0,0,,,55,138,10,15
64,126,0,-4331,13264,1142,2300,0,0,0,0,,,78,280,9,13
65,11,0,968,4227,626,2229,0,0,0,0,,,122,461,6,30
65,83,0,-7565,30117,648,1116,0,0,0,0,,,54,139,6,8
66,71,0,-9050,34160,490,1246,0,0,0,0,,,44,124,5,3
66,111,0,-7327,29031,694,1562,0,0,0,0,,,55,140,10,16
67,5,0,753,4775,1385,2378,0,0,0,0,,,117,427,13,61
67,30,0,-9231,35001,544,1904,0,0,0,0,,,40,115,9,13
67,55,0,-1997,21141,1732,2250,0,0,0,0,,,91,174,18,42
67,85,0,-7417,29527,635,1165,0,0,0,0,,,57,139,6,12
67,101,0,-927,13851,463,1764,0,0,0,0,,,108,275,4,5
68,1,0,744,4768,1400,2389,0,0,0,0,,,117,427,13,61
68,60,0,-1964,20530,1682,2283,0,0,0,0,,,92,181,17,44
68,73,0,-4475,13199,939,1894,0,0,0,0,,,78,281,7,12
69,0,1001,717,4759,1454,2353,0,0,0,0,,,117,430,12,61
69,19,0,-2236,21007,1947,2299,0,0,0,0,,,88,171,20,52
69,45,0,-4415,13447,1198,1696,0,0,0,0,,,77,275,10,17
69,72,0,-8563,32916,551,1693,0,0,0,0,,,47,127,6,8
69,81,0,-7258,28897,656,1019,0,0,0,0,,,57,143,8,12
70,1,1001,703,4762,1483,2398,0,0,0,0,,,116,419,14,69
70,107,0,-6287,23206,485,1623,0,0,0,0,,,67,181,4,7
71,0,0,1005,4298,596,2269,0,0,0,0,,,122,439,8,50
71,115,0,-4293,13369,1015,1599,0,0,0,0,,,81,276,6,17
72,0,1001,624,4746,1626,2327,0,0,0,0,,,115,429,14,59
72,82,0,-2663,22160,622,1139,0,0,0,0,,,93,161,6,44
72,144,0,-7188,28893,501,846,0,0,0,0,,,60,143,4,9
73,10,1001,634,4738,1598,2394,0,0,0,0,,,115,422,15,73
73,93,0,-1977,20925,1727,2227,0,0,0,0,,,92,163,17,58
73,145,0,-7366,29681,514,994,0,0,0,0,,,58,141,4,5
74,3,1001,649,4978,1723,2349,0,0,0,0,,,115,402,19,89
74,59,0,-2117,20702,1399,2253,0,0,0,0,,,91,177,16,45
74,83,0,-6015,16848,685,2136,0,0,0,0,,,66,237,6,10
75,4,0,535,4710,1743,2380,0,0,0,0,,,114,430,16,60
75,30,0,-7415,33063,2926,1937,0,0,0,0,,,39,114,27,39
75,87,0,-2012,20641,1604,2246,0,0,0,0,,,92,181,16,42
75,111,0,-4199,13100,759,1425,0,0,0,0,,,82,285,5,8
76,3,1001,839,4139,715,2166,0,0,0,0,,,120,438,9,59
77,11,0,451,4690,1781,2384,0,0,0,0,,,113,426,14,70
77,29,0,-5812,16757,1052,1773,0,0,0,0,,,66,234,8,20
77,59,0,-2138,20667,1841,2237,0,0,0,0,,,90,175,18,51
78,5,0,762,4061,806,2147,0,0,0,0,,,120,467,7,35
78,65,0,-6138,17134,686,932,0,0,0,0,,,64,230,8,21
78,76,0,-7544,30107,1098,1386,0,0,0,0,,,51,134,13,18
78,132,0,-4367,13624,619,1205,0,0,0,0,,,81,277,4,7
79,6,0,538,4039,1251,2130,0,0,0,0,,,116,468,11,31
79,28,1001,1438,6812,1250,2265,0,0,0,0,,,123,394,13,26
79,37,0,-7521,33184,2758,2183,0,0,0,0,,,39,112,26,38
79,68,0,-6146,17271,764,2189,0,0,0,0,,,64,229,7,18
80,18,0,421,4895,1750,2292,0,0,0,0,,,113,419,14,46
80,123,0,-6978,26884,675,723,0,0,0,0,,,61,158,4,6
80,124,0,-4258,13333,621,1626,0,0,0,0,,,82,282,4,7
81,6,0,482,4032,1357,2129,0,0,0,0,,,115,467,12,30
81,65,0,-7482,32667,2657,2207,0,0,0,0,,,44,115,20,37
82,8,0,536,4043,839,1975,0,0,0,0,,,118,464,7,31
82,87,0,-7418,28915,985,1435,0,0,0,0,,,55,141,10,15
83,63,0,-7904,37229,734,2048,0,0,0,0,,,50,110,8,13
84,60,0,-7586,33291,2687,1831,0,0,0,0,,,41,114,22,35
85,60,0,-7621,33445,2700,1960,0,0,0,0,,,41,112,24,38
85,98,0,-3701,28130,1059,1530,0,0,0,0,,,86,139,7,23
86,29,0,1311,6431,434,1650,0,0,0,0,,,125,412,4,10
86,40,0,-7428,33123,2931,1941,0,0,0,0,,,43,115,22,35
87,74,0,-6670,31597,321,359,0,0,0,0,,,62,131,5,11
88,3,0,-1447,4399,431,2141,0,0,0,0,,,103,447,5,34
88,31,0,18,3933,882,1677,0,0,0,0,,,113,461,10,31
89,19,0,364,3959,693,1993,0,0,0,0,,,114,461,9,46
90,125,0,-4884,28756,447,429,0,0,0,0,,,76,147,5,6
91,72,0,-7365,32494,3031,1923,0,0,0,0,,,43,113,23,41
91,116,0,-763,2570,405,553,0,0,0,0,,,109,571,4,17
92,43,0,1104,6664,725,1697,0,0,0,0,,,121,405,7,25
93,59,0,1157,6817,1214,2352,0,0,0,0,,,121,386,9,33
93,95,0,-7486,32769,2998,1940,0,0,0,0,,,42,112,24,42
94,38,0,-7874,31648,1589,1722,0,0,0,0,,,42,113,21,40
94,56,0,-7199,35935,1246,1676,0,0,0,0,,,52,113,14,17
